"EPC","DopplerShift(Hz)","Time","Antenna","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","0","6.28011734560381","0",""
"FFFFFFFFFFFFFFFFE2000005","39","0","0","0","6.28011734560381","0",""
"FFFFFFFFFFFFFFFFE2000005","39","0","0","-25","6.28011734560381","0",""
"FFFFFFFFFFFFFFFFE2000005","39","0","0","-25","3.12318488413517","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.12318488413517","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-24","3.12318488413517","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-24","3.12932080728671","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-24","3.12932080728671","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-24","3.12932080728671","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-24","3.13545673043825","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-24","3.13545673043825","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-24","3.13545673043825","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-24","3.14772857674134","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-24","3.14772857674134","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-24","3.14772857674134","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-24","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-24","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-24","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-24","3.14772857674134","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-24","3.14772857674134","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.14772857674134","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-25","3.14772857674134","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.14772857674134","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-24","3.14772857674134","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-24","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-24","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-24","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-24","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-24","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFFFFF3114","0","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFFFFF3114","0","0","0","-25","2.00031094740288","0",""
"FFFFFFFFFFFFFFFFFFFF3114","25","0","0","-25","2.00031094740288","0",""
"FFFFFFFFFFFFFFFFFFFF3114","25","0","0","-69","2.00031094740288","0",""
"FFFFFFFFFFFFFFFFE2000005","25","0","0","-69","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-69","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFFFFF3114","52","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFFFFF3114","52","0","0","-25","5.08668029262879","0",""
"FFFFFFFFFFFFFFFFFFFF3114","25","0","0","-25","5.08668029262879","0",""
"FFFFFFFFFFFFFFFFFFFF3114","25","0","0","-70","5.08668029262879","0",""
"FFFFFFFFFFFFFFFFE2000005","25","0","0","-70","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-70","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFFFFF3114","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFFFFF3114","52","0","0","-25","2.05553425576676","0",""
"FFFFFFFFFFFFFFFFFFFF3114","13","0","0","-25","2.05553425576676","0",""
"FFFFFFFFFFFFFFFFFFFF3114","13","0","0","-69","2.05553425576676","0",""
"FFFFFFFFFFFFFFFFE2000005","13","0","0","-69","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-69","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFFFFF3114","78","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFFFFF3114","78","0","0","-25","5.19712690935655","0",""
"FFFFFFFFFFFFFFFFFFFF3114","21","0","0","-25","5.19712690935655","0",""
"FFFFFFFFFFFFFFFFFFFF3114","21","0","0","-68","5.19712690935655","0",""
"FFFFFFFFFFFFFFFFE2000005","21","0","0","-68","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-68","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFFFFF3114","104","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFFFFF3114","104","0","0","-25","1.61988371200724","0",""
"FFFFFFFFFFFFFFFFFFFF3114","1","0","0","-25","1.61988371200724","0",""
"FFFFFFFFFFFFFFFFFFFF3114","1","0","0","-70","1.61988371200724","0",""
"FFFFFFFFFFFFFFFFE2000005","1","0","0","-70","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-70","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFFFFF3114","156","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFFFFF3114","156","0","0","-25","1.61374778885569","0",""
"FFFFFFFFFFFFFFFFFFFF3114","19","0","0","-25","1.61374778885569","0",""
"FFFFFFFFFFFFFFFFFFFF3114","19","0","0","-69","1.61374778885569","0",""
"FFFFFFFFFFFFFFFFE2000005","19","0","0","-69","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-69","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFFFFF3114","104","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFFFFF3114","104","0","0","-25","1.76714586764426","0",""
"FFFFFFFFFFFFFFFFFFFF3114","-4","0","0","-25","1.76714586764426","0",""
"FFFFFFFFFFFFFFFFFFFF3114","-4","0","0","-70","1.76714586764426","0",""
"FFFFFFFFFFFFFFFFE2000005","-4","0","0","-70","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-70","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17840819249905","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17840819249905","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17840819249905","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.15386449989288","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-25","3.17840819249905","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-25","3.17840819249905","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-25","3.17840819249905","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.16000042304442","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","117","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","117","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","117","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","104","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","156","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17227226934751","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","130","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.16613634619596","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-25","3.17840819249905","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-25","3.17840819249905","0",""
