"EPC","Time","Antenna","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)","DopplerShift(Hz)","Velocity"
"FFFFFFFFFFFFFFFFE2000005","1448518729482188","1","0","5.96411730329937","341.71875","0","0"
"FFFFFFFFFFFFFFFFE2000005","1448518729482188","1","0","5.96411730329937","341.71875","-32","0"
"FFFFFFFFFFFFFFFFE2000005","1448518729482188","1","-60","5.96411730329937","341.71875","-32","0"
"FFFFFFFFFFFFFFFFE2000005","1448518729530873","1","-60","2.81025280340649","161.015625","-32","0"
"FFFFFFFFFFFFFFFFE2000005","1448518729530873","1","-60","2.81025280340649","161.015625","208","0"
"FFFFFFFFFFFFFFFFE2000005","1448518729530873","1","-59","2.81025280340649","161.015625","208","0"
"FFFFFFFFFFFFFFFFE2000005","1448518729577913","1","-59","2.87161203492192","164.53125","208","0"
"FFFFFFFFFFFFFFFFE2000005","1448518729577913","1","-59","2.87161203492192","164.53125","26","0"
"FFFFFFFFFFFFFFFFE2000005","1448518729577913","1","-58","2.87161203492192","164.53125","26","0"
"FFFFFFFFFFFFFFFFE2000005","1448518729622380","1","-58","2.86547611177038","164.1796875","26","0.0136132834090667"
"FFFFFFFFFFFFFFFFE2000005","1448518729622380","1","-58","2.86547611177038","164.1796875","78","0.0136132834090667"
"FFFFFFFFFFFFFFFFE2000005","1448518729622380","1","-59","2.86547611177038","164.1796875","78","0.0136132834090667"
"FFFFFFFFFFFFFFFFE2000005","1448518729666915","1","-59","2.84093241916421","162.7734375","78","0.00672787097970029"
"FFFFFFFFFFFFFFFFE2000005","1448518729666915","1","-59","2.84093241916421","162.7734375","52","0.00672787097970029"
"FFFFFFFFFFFFFFFFE2000005","1448518729666915","1","-58","2.84093241916421","162.7734375","52","0.00672787097970029"
"FFFFFFFFFFFFFFFFE2000005","1448518729712202","1","-58","2.84706834231575","163.125","52","-0.00171487818965821"
"FFFFFFFFFFFFFFFFE2000005","1448518729712202","1","-58","2.84706834231575","163.125","78","-0.00171487818965821"
"FFFFFFFFFFFFFFFFE2000005","1448518729712202","1","-58","2.84706834231575","163.125","78","-0.00171487818965821"
"FFFFFFFFFFFFFFFFE2000005","1448518729759471","1","-58","2.81025280340649","161.015625","78","0.000385096650500564"
"FFFFFFFFFFFFFFFFE2000005","1448518729759471","1","-58","2.81025280340649","161.015625","208","0.000385096650500564"
"FFFFFFFFFFFFFFFFE2000005","1448518729759471","1","-58","2.81025280340649","161.015625","208","0.000385096650500564"
