MultiReader - Tags Read History Results
Test Description: 
Test Date: 08/19/14  Time: 10:52:36 ÉÏÎç

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0xcccccccccccccccce10c,1408416690.136,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.157,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.183,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.203,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.230,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.250,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.276,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.296,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.323,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.343,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.370,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.389,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.416,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.436,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.462,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.482,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.508,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.528,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.554,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.574,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.601,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.621,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.647,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.666,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.693,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.712,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.739,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.759,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.786,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.805,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.832,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.852,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.878,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.898,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.924,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.944,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.970,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416690.990,0,-47,0,921.625,20.00,1
0xcccccccccccccccce10c,1408416691.016,0,-47,0,921.625,20.00,1
