EPC,DopplerShift(Hz),Time,Antenna,TxPower,Frequency(MHz),RSS(dbm),PhaseAngle(Radian),PhaseAngle(Degree)
BBBB BBBB BBBB BBBB BBBB 3121,3.19,1405650000000000.00 ,1,21.25,924.375,-59,4.246058821,63.28125
BBBB BBBB BBBB BBBB BBBB 3121,2.56,1405650000000000.00 ,1,21.25,924.375,-58.5,4.26446659,64.3359375
BBBB BBBB BBBB BBBB BBBB 3121,2.88,1405650000000000.00 ,1,21.25,924.375,-58.5,4.258330667,63.984375
BBBB BBBB BBBB BBBB BBBB 3121,2.88,1405650000000000.00 ,1,21.25,924.375,-58.5,4.28287436,65.390625
BBBB BBBB BBBB BBBB BBBB 3121,1.81,1405650000000000.00 ,1,21.25,924.375,-58.5,4.307418052,246.796875
BBBB BBBB BBBB BBBB BBBB 3121,2.56,1405650000000000.00 ,1,21.25,924.375,-58.5,4.301282129,66.4453125
BBBB BBBB BBBB BBBB BBBB 3121,3.5,1405650000000000.00 ,1,21.25,924.375,-58.5,4.295146206,66.09375
BBBB BBBB BBBB BBBB BBBB 3121,2.56,1405650000000000.00 ,1,21.25,924.375,-58.5,4.313553976,67.1484375
BBBB BBBB BBBB BBBB BBBB 3121,1.81,1405650000000000.00 ,1,21.25,924.375,-58.5,4.313553976,67.1484375
BBBB BBBB BBBB BBBB BBBB 3121,2.56,1405650000000000.00 ,1,21.25,924.375,-59,4.313553976,67.1484375
BBBB BBBB BBBB BBBB BBBB 3121,3.19,1405650000000000.00 ,1,21.25,924.375,-59,4.313553976,247.1484375
BBBB BBBB BBBB BBBB BBBB 3121,2.13,1405650000000000.00 ,1,21.25,924.375,-59,4.331961745,68.203125
BBBB BBBB BBBB BBBB BBBB 3121,4.06,1405650000000000.00 ,1,21.25,924.375,-59,4.270602513,64.6875
BBBB BBBB BBBB BBBB BBBB 3121,2.56,1405650000000000.00 ,1,21.5,924.375,-59,4.307418052,66.796875
BBBB BBBB BBBB BBBB BBBB 3121,0.56,1405650000000000.00 ,1,21.5,924.375,-59,4.331961745,68.203125
BBBB BBBB BBBB BBBB BBBB 3121,1.81,1405650000000000.00 ,1,21.5,924.375,-59,4.325825822,67.8515625
BBBB BBBB BBBB BBBB BBBB 3121,2.56,1405650000000000.00 ,1,21.5,924.375,-59.5,4.387185053,251.3671875
BBBB BBBB BBBB BBBB BBBB 3121,0.25,1405650000000000.00 ,1,21.75,924.375,-59.5,4.123340358,56.25
BBBB BBBB BBBB BBBB BBBB 3121,0.88,1405650000000000.00 ,1,21.75,924.375,-59.5,4.117204435,235.8984375
BBBB BBBB BBBB BBBB BBBB 3121,4.06,1405650000000000.00 ,1,21.75,924.375,-59,4.080388896,53.7890625
BBBB BBBB BBBB BBBB BBBB 3121,1.81,1405650000000000.00 ,1,21.75,924.375,-59,4.111068512,55.546875
BBBB BBBB BBBB BBBB BBBB 3121,3.19,1405650000000000.00 ,1,21.75,924.375,-59,4.098796665,54.84375
BBBB BBBB BBBB BBBB BBBB 3121,1.5,1405650000000000.00 ,1,21.75,924.375,-58.5,4.135612204,56.953125
BBBB BBBB BBBB BBBB BBBB 3121,1.5,1405650000000000.00 ,1,21.75,924.375,-58.5,4.14788405,57.65625
BBBB BBBB BBBB BBBB BBBB 3121,1.81,1405650000000000.00 ,1,21.75,924.375,-58.5,4.16629182,58.7109375
BBBB BBBB BBBB BBBB BBBB 3121,2.13,1405650000000000.00 ,1,22,924.375,-58.5,4.221515128,61.875
BBBB BBBB BBBB BBBB BBBB 3121,0.88,1405650000000000.00 ,1,22,924.375,-58.5,4.258330667,63.984375
BBBB BBBB BBBB BBBB BBBB 3121,2.13,1405650000000000.00 ,1,22,924.375,-58.5,4.252194744,63.6328125
BBBB BBBB BBBB BBBB BBBB 3121,3.81,1405650000000000.00 ,1,22,924.375,-59,4.289010283,65.7421875
BBBB BBBB BBBB BBBB BBBB 3121,3.81,1405650000000000.00 ,1,22,924.375,-59,4.295146206,66.09375
BBBB BBBB BBBB BBBB BBBB 3121,2.13,1405650000000000.00 ,1,22,924.375,-59,4.331961745,68.203125
BBBB BBBB BBBB BBBB BBBB 3121,2.56,1405650000000000.00 ,1,22,924.375,-59.5,4.331961745,68.203125
BBBB BBBB BBBB BBBB BBBB 3121,3.81,1405650000000000.00 ,1,22,924.375,-59.5,4.313553976,67.1484375
BBBB BBBB BBBB BBBB BBBB 3121,2.56,1405650000000000.00 ,1,22,924.375,-59.5,4.295146206,246.09375
BBBB BBBB BBBB BBBB BBBB 3121,1.19,1405650000000000.00 ,1,22,924.375,-59.5,4.319689899,67.5
BBBB BBBB BBBB BBBB BBBB 3121,2.56,1405650000000000.00 ,1,22,924.375,-59.5,4.289010283,65.7421875
BBBB BBBB BBBB BBBB BBBB 3121,2.13,1405650000000000.00 ,1,22,924.375,-59.5,4.295146206,66.09375
BBBB BBBB BBBB BBBB BBBB 3121,1.5,1405650000000000.00 ,1,22,924.375,-59.5,4.331961745,248.203125
BBBB BBBB BBBB BBBB BBBB 3121,0.88,1405650000000000.00 ,1,22,924.375,-59.5,4.313553976,67.1484375
BBBB BBBB BBBB BBBB BBBB 3121,2.13,1405650000000000.00 ,1,22,924.375,-59.5,4.301282129,246.4453125
BBBB BBBB BBBB BBBB BBBB 3121,1.19,1405650000000000.00 ,1,22,924.375,-59.5,4.331961745,68.203125
BBBB BBBB BBBB BBBB BBBB 3121,-0.25,1405650000000000.00 ,1,22,924.375,-59.5,4.331961745,68.203125
